File_Name,Mid_Time,Anchor_Info,Global_Anchor_ID,S_lte,S_meg,S_signal
20230923_2123_merged.csv,00:00:04,"(0,400)",33,0.748338,0.62435,0.720542
20230923_2123_merged.csv,00:00:43,"(1963,2363)",18,0.55119,0.76865,0.754378
20230923_2123_merged.csv,00:01:12,"(3399,3799)",2,0.635836,0.738628,0.792569
20230923_2123_merged.csv,00:01:57,"(5637,6037)",34,0.737588,0.716674,0.78258
20230923_2123_merged.csv,00:02:43,"(7942,8342)",4,0.603504,0.685454,0.745023
20230923_2123_merged.csv,00:03:30,"(10370,10690)",8,0.680266,0.829621,0.833591
20230923_2123_merged.csv,00:03:50,"(11327,11727)",0,0.62862,0.807457,0.828546
20230923_2123_merged.csv,00:04:23,"(12970,13370)",4,0.694849,0.758562,0.804424
20230709_1340_merged.csv,00:00:38,"(1684,2084)",35,0.750913,0.735902,0.78935
20230709_1340_merged.csv,00:01:08,"(3200,3600)",7,0.589042,0.852423,0.862163
20230709_1340_merged.csv,00:01:52,"(5416,5816)",8,0.746686,0.833307,0.850045
20230709_1340_merged.csv,00:03:40,"(10803,11203)",11,0.708487,0.799481,0.839055
