Curve,FAR,TPR,Threshold,AUC
Overall,0.035625,0.3433333333333333,0.8929597556970559,0.869575
Overall,0.03625,0.3433333333333333,0.8929345835906168,0.869575
Overall,0.036875,0.3433333333333333,0.89275167286185,0.869575
Overall,0.036875,0.345,0.8920870107621239,0.869575
Overall,0.036875,0.3466666666666667,0.8920681062043034,0.869575
Overall,0.036875,0.34833333333333333,0.892047269159628,0.869575
Overall,0.036875,0.35,0.891958647747484,0.869575
Overall,0.036875,0.3516666666666667,0.891842161091009,0.869575
Overall,0.036875,0.35333333333333333,0.8918299110348059,0.869575
Overall,0.036875,0.355,0.8916331536818801,0.869575
Overall,0.0375,0.355,0.8913282199039232,0.869575
Overall,0.038125,0.355,0.891177771273515,0.869575
Overall,0.038125,0.3566666666666667,0.891133761790342,0.869575
Overall,0.038125,0.35833333333333334,0.8910478394248819,0.869575
Overall,0.03875,0.35833333333333334,0.8910163666095219,0.869575
Overall,0.039375,0.35833333333333334,0.8910010285818307,0.869575
Overall,0.039375,0.36,0.8908689726545057,0.869575
Overall,0.04,0.36,0.8906497369690067,0.869575
Overall,0.04,0.3616666666666667,0.8906478628148455,0.869575
Overall,0.040625,0.3616666666666667,0.890595767048936,0.869575
Overall,0.040625,0.36333333333333334,0.8903294911080752,0.869575
Overall,0.040625,0.365,0.8903096325252137,0.869575
Overall,0.04125,0.365,0.8902971208219409,0.869575
Overall,0.04125,0.36666666666666664,0.8902113099961676,0.869575
Overall,0.04125,0.36833333333333335,0.8889568408106618,0.869575
Overall,0.04125,0.37,0.8882667904540336,0.869575
Overall,0.04125,0.37166666666666665,0.888166253364343,0.869575
Overall,0.04125,0.37333333333333335,0.8881484069390808,0.869575
Overall,0.04125,0.375,0.8878029076645807,0.869575
Overall,0.04125,0.37666666666666665,0.8875218607519012,0.869575
Overall,0.04125,0.37833333333333335,0.8875002396223697,0.869575
Overall,0.041875,0.37833333333333335,0.8873279881731446,0.869575
Overall,0.041875,0.38,0.8872386764424192,0.869575
Overall,0.0425,0.38,0.8872171882798807,0.869575
Overall,0.043125,0.38,0.8872091943210851,0.869575
Overall,0.04375,0.38,0.8868232839225583,0.869575
Overall,0.04375,0.38166666666666665,0.8865645002669409,0.869575
Overall,0.044375,0.38166666666666665,0.8863149024028665,0.869575
Overall,0.044375,0.38333333333333336,0.8858824020389909,0.869575
Overall,0.044375,0.385,0.8856861241529808,0.869575
Overall,0.044375,0.38666666666666666,0.8853646781747255,0.869575
Overall,0.045,0.38666666666666666,0.8852235451084907,0.869575
Overall,0.045,0.3883333333333333,0.8850845151146661,0.869575
Overall,0.045,0.39,0.8845173207838803,0.869575
Overall,0.045625,0.39,0.8845131773706343,0.869575
Overall,0.04625,0.39,0.8841869938145199,0.869575
Overall,0.04625,0.39166666666666666,0.8839201303849481,0.869575
Overall,0.04625,0.3933333333333333,0.8828616961747974,0.869575
Overall,0.04625,0.395,0.88272369264291,0.869575
Overall,0.04625,0.39666666666666667,0.8827077001458672,0.869575
Overall,0.04625,0.3983333333333333,0.8826579417137774,0.869575
Overall,0.046875,0.3983333333333333,0.8826223802796832,0.869575
Overall,0.046875,0.4,0.8825400927570025,0.869575
Overall,0.0475,0.4,0.8821176623191962,0.869575
Overall,0.048125,0.4,0.881931391587181,0.869575
Overall,0.048125,0.40166666666666667,0.881747114344959,0.869575
Overall,0.048125,0.4033333333333333,0.8817180058123898,0.869575
Overall,0.048125,0.405,0.8813446727212111,0.869575
Overall,0.04875,0.405,0.8810388931316363,0.869575
Overall,0.04875,0.4066666666666667,0.8810142334546062,0.869575
Overall,0.04875,0.4083333333333333,0.8807963105322064,0.869575
Overall,0.04875,0.41,0.8807662546710946,0.869575
Overall,0.04875,0.4116666666666667,0.8805587540515449,0.869575
Overall,0.049375,0.4116666666666667,0.880407655874109,0.869575
Overall,0.05,0.4116666666666667,0.8802825082208904,0.869575
Overall,0.05,0.41333333333333333,0.8800409823643494,0.869575
Overall,0.05,0.415,0.8800262863722981,0.869575
Overall,0.050625,0.415,0.8797987947570978,0.869575
Overall,0.050625,0.4166666666666667,0.8797756337354509,0.869575
